,id,label,keyword,date,content,time,forward,comment,like,predict,__label__positive,__label__negative,__label__neutral,predict_score,topic,topic_keyword,topic_keyword_en
0,1,__label__negative,新冠,2020-02-13,北京市 新冠 肺炎 新 发 病例 活动 过 的 小区 或 场所 北京市 新型 冠状病毒 感染 的 肺炎 疫情 防控 工作 新闻 发布会 发布 二月 十二日 新 发 病例 活动 过 的 小区 或 场所 具体 信息 如下 ​ ​,2020-02-13 23:00:00,0,0,0,__label__negative,0.3346,0.8740899999999999,1e-05,0.8740899999999999,1.0,"患者, 医院, 收治, 感染, 广西","patient, hospital, Admission, infection, Guangxi"
1,3,__label__negative,新冠,2020-02-13,日本 出现 首例 新冠 肺炎 死亡 病例 加油,2020-02-13 22:59:00,0,0,0,__label__positive,0.7931199999999999,0.08271,1e-05,0.7931199999999999,2.0,"日本, 病例, 死亡, 出现, 首例","Japan, Case, death, appear, First case"
2,7,__label__positive,新冠,2020-02-13,没事 各自 忙 有难 一起 扛 我 已 零元 加入 新冠 病毒 互助 计划 次日 生效 不限 年龄 不分 地域 不收取 管理费 更 有 新浪 捐助 一千万元 助力 全民 战 疫 众志成城 疫情 退散 o,2020-02-13 22:59:00,0,0,0,__label__positive,0.8397399999999999,0.11921,0.04744,0.8397399999999999,4.0,"武汉, 确诊, 隔离, 患者, 二月","Wuhan, Confirmed diagnosis, isolation, patient, February"
3,11,__label__negative,新冠,2020-02-13,新冠 疫情 下 如何 安全 返工 大家 都 返工 了 吗 公司 有 给 你们 发 口罩 吗 在 评论 区 留言 你 在 上下班 途中 和 在 公司 里 都 做 了 哪些 防护 措施 关注 和 转发 本条 微博 二月 十九 抽取 六位 小伙伴 每人 送 五十元 现金 红包,2020-02-11 22:17:00,0,0,0,__label__positive,0.62247,0.31406,0.00118,0.62247,3.0,"血浆, 特免, 患者, 治疗, 临床","plasma, Special Free, patient, treatment, clinical"
4,18,__label__positive,新冠,2020-02-13,为 蹭 吃 蹭 住 竟 谎称 从 武汉 返回 男子 隔离 十四天 后 被 拘 谎称 武汉 返回 隔离 十四天 后 被 拘 就 在 全国 各地 加强 新冠 肺炎 疫情 防控 的 时候 男子 高某 竟然 为了 找 一个 免费 吃 住 的 地方 谎称 从 武汉 回来,2020-02-13 22:26:00,0,0,0,__label__positive,0.99266,0.00084,0.03848,0.99266,4.0,"武汉, 确诊, 隔离, 患者, 二月","Wuhan, Confirmed diagnosis, isolation, patient, February"
5,22,__label__positive,新冠,2020-02-13,为 蹭 吃 蹭 住 竟 谎称 从 武汉 返回 男子 隔离 十四天 后 被 拘 谎称 武汉 返回 隔离 十四天 后 被 拘 就 在 全国 各地 加强 新冠 肺炎 疫情 防控 的 时候 男子 高某 竟然 为了 找 一个 免费 吃 住 的 地方 谎称 从 武汉 回来,2020-02-13 22:26:00,0,0,0,__label__positive,0.99266,0.00084,0.03848,0.99266,4.0,"武汉, 确诊, 隔离, 患者, 二月","Wuhan, Confirmed diagnosis, isolation, patient, February"
6,30,__label__positive,新冠,2020-02-13,日本 出现 首例 新冠 肺炎 死亡 病例 加油 中国 加油 日本,2020-02-13 22:59:00,0,0,1,__label__positive,0.99332,0.02845,1e-05,0.99332,2.0,"日本, 病例, 死亡, 出现, 首例","Japan, Case, death, appear, First case"
7,44,__label__positive,新冠,2020-02-13,日本 出现 首例 新冠 肺炎 死亡 病例 加油 我们 不能 放弃,2020-02-13 22:59:00,0,0,0,__label__positive,1.00001,1e-05,1e-05,1.00001,2.0,"日本, 病例, 死亡, 出现, 首例","Japan, Case, death, appear, First case"
8,53,__label__positive,新冠,2020-02-13,每个 所谓 成功的 画家 实际 也 是 发现 自我 的 画家 刘寿祥愿 天堂 没有 病痛 水彩画家 刘寿祥 因新冠 肺炎 去世,2020-02-13 22:59:00,3,1,30,__label__positive,0.69926,0.32768,0.002,0.69926,0.0,"哈哈哈, 中药, 口罩, 一线, 救治","Hahaha, traditional Chinese medicine, Mask, First line, Cure"
9,68,__label__positive,新冠,2020-02-13,日本 出现 首例 新冠 肺炎 死亡 病例,2020-02-13 22:59:00,0,0,0,__label__negative,0.02519,0.94661,1e-05,0.94661,2.0,"日本, 病例, 死亡, 出现, 首例","Japan, Case, death, appear, First case"
