,id,label,keyword,date,content,time,forward,comment,like,predict,__label__positive,__label__negative,__label__neutral,predict_score,topic,topic_keyword,topic_keyword_en
0,3,__label__positive,新冠,2020-02-27,可爱 意大利 奶奶 在线 教 你 如何 预防 新冠 病毒 要 听 奶奶 的话 哦 意大利 一号 确诊 患者 影响 五万 人 新冠 病毒 意大利 宣布 进入 国家 紧急状态 lwink 豆 喵 的 微博 视频,2020-02-27 22:59:00,0,0,8,__label__positive,0.85967,0.002,0.34866,0.85967,1.0,"伊朗, 总统, 确诊, 副, 呈","Iran, president, Confirmed diagnosis, vice, Present"
1,11,__label__neutral,新冠,2020-02-27,新冠 病毒检测 呈 阳性 的 伊朗 副 总统 昨天 曾 与 总统 开 内阁会议 根据 伊朗 媒体 媒体 以及 诸如 美联社 等 多家 国际 媒体 的 报道 伊朗 负责 妇女 和 家庭事务 的 副 总统 玛苏梅 埃卜特 卡尔 masoumeh ebtekar 被 发现 新冠 病毒检测 呈 阳性 英国 bbc 报道 伊朗 事务 的 记者 还 发现 这位 副 总统 昨天 曾 出席 了 伊朗 的 内阁会议 并 坐在 ​ ,2020-02-27 22:59:00,0,0,0,__label__negative,1e-05,0.88405,0.23372,0.88405,1.0,"伊朗, 总统, 确诊, 副, 呈","Iran, president, Confirmed diagnosis, vice, Present"
2,18,__label__negative,新冠,2020-02-27,哈哈哈 哈哈 崔娃 还是 搞笑 笑 掉 了,2020-02-27 16:04:00,2,0,0,__label__negative,1e-05,0.99479,0.02443,0.99479,3.0,"伊朗, 确诊, 国家, 委员会, 主席","Iran, Confirmed diagnosis, country, Committee, Chairman"
3,22,__label__negative,新冠,2020-02-27,医用 外科 口罩 重用 自我 消毒 一 水洗 酒精 八十四 消毒液 不靠 谱 水洗 酒精 或者 八十四 消毒液 的 浸泡 冲洗 会 使 口罩 发生 不同 程度 的 形变 进而 与 人脸 的 贴合 能力 下降 而 降低 防护 作用 更 关键 的 是 口罩 中层 的 过滤 层 被 润湿 后 都 破坏 了 过滤 层 的 静电 以及 纤维结构 其 过滤 性能 会 下降 到 三十五 其 防护 作用 大大降低 零 ​ ,2020-02-27 22:59:00,0,0,0,__label__negative,0.04744,0.58511,0.06756000000000001,0.58511,0.0,"中国, 美国, 工作, 下降, 会","China, United States, jobs, decline, meeting"
4,25,__label__positive,新冠,2020-02-27,我 想 告诉 外国人 不要 觉得 新冠 死亡率 百分之二 是 个 自然现象 不是 这样 的 这个 数字 是 我们 政府 调动 全国 力量 出动 千万 医护 拼命 干 出来 的 也许 到 了 别的 国家 就 不是 二 了,2020-02-27 19:31:00,0,0,0,__label__negative,0.0421,0.96591,0.00074,0.96591,0.0,"中国, 美国, 工作, 下降, 会","China, United States, jobs, decline, meeting"
5,30,__label__negative,新冠,2020-02-27,tmd 中国 新冠 病人 数量 下降 过快 你们 表示 很 遗憾 艹,2020-02-27 18:31:00,0,0,0,__label__neutral,0.00448,0.15204,0.8558600000000001,0.8558600000000001,0.0,"中国, 美国, 工作, 下降, 会","China, United States, jobs, decline, meeting"
6,44,__label__neutral,新冠,2020-02-27,多 部门 联合 调查组 对 武汉 一 刑满释放 人员 感染 新冠 肺炎 离汉到 京 事件 展开 调查 o 多 部门 联合 调查组 对 武汉 一 刑满释放 人员 感染 新冠 肺炎 离汉到 京 事件 展开 调查,2020-02-27 22:59:00,0,0,0,__label__neutral,1e-05,0.04604,0.94968,0.94968,2.0,"伊朗, 感染, 梵蒂冈, 驻, 大使","Iran, infection, Vatican, Reside, ambassador"
7,53,__label__neutral,新冠,2020-02-27,死亡率 超十 伊朗 多名 高官 确诊 新冠 肺炎 伊朗 疫情 引发 中东 忧虑 截至 二十七日 全球 除 南极洲 外 的 六 大洲 都 出现 了 新冠 病毒感染 病例 尤其 是 在 冲突 不断 战火 频繁 的 中东地区 疫情 的 迅速 蔓延 引发 国际 社会 的 广泛 担忧 据悉 伊朗 是 目前 中东地区 确诊 病例 最多 的 国家 截至 二十七日 伊朗 共 确诊 二百四十五 例新冠病 ​ ,2020-02-27 22:59:00,0,0,0,__label__neutral,0.0029,0.01134,0.99674,0.99674,1.0,"伊朗, 总统, 确诊, 副, 呈","Iran, president, Confirmed diagnosis, vice, Present"
8,68,__label__negative,新冠,2020-02-27,意大利 也 认为 首要任务 是 消除 恐慌 恐慌 群众 和 四千 亿 蝗虫 没有 什么 区别 意大利 跟 中国 人口密度 不一样 怎么 相提并论 虽然 说 病毒 引起 肺炎 但 其实 被 传染 以后 病的 严重 程度 真的 跟 几天 差不多 只是 国内 没觉得 流感 严重,2020-02-26 19:00:00,0,6,1,__label__negative,0.00372,0.97157,0.06561,0.97157,4.0,"口罩, 戴, 教授, 张文宏, 二个月","Mask, wore, professor, Zhang Wenhong, Two months"
9,71,__label__negative,新冠,2020-02-27,法治 新闻 速览 湖北 成立 调查组 彻查 刑释 新冠 肺炎 确诊 人员 离汉 抵京 问题 ① 新增 确诊 一百零七 例 湖北 荆门 市委书记 市长 被 予以 诫勉 ② 香港 一 佛堂 跪毯 检测 出新 冠 病毒 ③ 迪士尼 换新 ceo 原 乐园 负责人 接手 ④ 美国 口罩 出现 二亿 七千万 缺口 ⑤ 鄂州市 民 为 医疗 队员 亲手做 生日蛋糕 致敬 战疫 逆 行者 中央 政 ​ ,2020-02-27 22:59:00,0,0,0,__label__positive,0.6076699999999999,0.016919999999999998,0.21208,0.6076699999999999,0.0,"中国, 美国, 工作, 下降, 会","China, United States, jobs, decline, meeting"
