,id,label,keyword,date,content,time,forward,comment,like,predict,__label__positive,__label__negative,__label__neutral,predict_score,topic,topic_keyword,topic_keyword_en
0,1,__label__neutral,冠状病毒,2020-02-05,必须 明确 一点 作为 传染病 防治 的 基本 原则 是 消灭 传染源 阻断 传播 途径 保护 易感 人群 消灭 传染源 此次 而言 是 对 华南 海鲜 市场 进行 消毒 和 清理 消灭 此次 病毒 爆发 的 源头 已经 由 相关 部门 做好 了 阻断 传播 途径 目前 临床 和 研究 表明 经 呼吸道 飞沫 和 接触 传播 是 主要 的 传播 途径 气溶胶 和 消化 ​ ,2020-02-05 22:59:00,0,0,4,__label__positive,0.86705,0.76066,1e-05,0.86705,1.0,"c, 维, 维生素, 预防, 九","c, dimension, Vitamins, prevention, nine"
1,3,__label__positive,冠状病毒,2020-02-05,防疫 课堂 速看 小区 有人 感染 新型 冠状病毒 怎么办 来源 人民日报,2020-02-05 22:59:00,1,0,2,__label__positive,0.5078199999999999,0.0331,0.03022,0.5078199999999999,0.0,"防控, 指南, 武汉, 病毒, o","Prevention and control, guide, Wuhan, virus, o"
2,7,__label__negative,冠状病毒,2020-02-05,根据 专家 的 建议 每次 外出 回家 后 把 外套 在 阳台 外面 晾 四 h 设 好 闹钟 去 收 发现 已 被 妖风 刮走 如丧考妣 明明 夹 了 那么 多 夹子 昨天 不晾 的 好好 的 么 我 恨 冠状病毒 跟 了 我 将近 六七年 的 英国 羽绒服 和 百 搭 牛仔裤 以及 我 的 围巾 就 这样 飞走 带走 了 我 的 灵,2020-02-05 22:59:00,0,0,0,__label__negative,0.00161,0.95115,0.0601,0.95115,2.0,"保险, 二月, g, 香港, 中国","Insurance, February, g, Hong Kong, China"
3,8,__label__positive,冠状病毒,2020-02-05,新型 冠状病毒 肺炎 预防 凉茶 处方 柴胡 十 g 黄芪 十 g 薏米 十五 g 苍术 十 g 麦冬 十五 g 北沙参 十五 g 生甘草 十 g 金银花 十五 g 僵蚕 十 g 蝉衣 五 g 大黄 五 g 姜黄 十 g 以上 药物 十付 以水 十五 l 煎 取十 l 每人 每次 饮 二百 ml 每周 二 三次 如 居家 使用 以上 药物 一付 以水 一 五 l 煎取 一 l 三 四人 分服 每周 二 三次,2020-02-05 22:56:00,0,0,0,__label__negative,0.0008699999999999999,0.99479,0.02597,0.99479,2.0,"保险, 二月, g, 香港, 中国","Insurance, February, g, Hong Kong, China"
4,11,__label__neutral,冠状病毒,2020-02-05,江湖人称 病毒 猎手 的 顶级 国际 病毒 专家 手把手 教 你 防护 知识 家里 存 的 口罩 不多 了 怎么办 非常 时期 一定 要 握手 怎么 握 哪些 事情 只要 做 就 能 保护 自己 和 家人 新型 冠状病毒 薇 赴 思访,2020-02-03 17:41:00,0,0,0,__label__neutral,0.00477,0.26285,0.72488,0.72488,0.0,"防控, 指南, 武汉, 病毒, o","Prevention and control, guide, Wuhan, virus, o"
5,18,__label__neutral,冠状病毒,2020-02-05,⚠ 科普 一下 新型 冠状病毒 🦠 不但 可以 通过 飞沫 从 口腔 鼻腔 进入 感染 眼角 黏膜 也 是 挡不住 的 眼睛 不保护 照样 完蛋 你们 可以 关注 在 一线 的 医护人员 和 各大 航空公司 等等 都 是 护目镜 口罩 全副武装 的 哦,2020-02-05 22:59:00,0,0,0,__label__neutral,0.02034,0.00213,0.99594,0.99594,2.0,"保险, 二月, g, 香港, 中国","Insurance, February, g, Hong Kong, China"
6,22,__label__neutral,冠状病毒,2020-02-05,新型 冠状病毒 肺炎 最新 情况 辽宁 新增 一例 确诊 病例 累计 八十九 例 二千 零 二十年 二月 五日 十五 时 三十分 至 二十二时 辽宁省 沈阳市 新增 一例 新型 冠状病毒 感染 的 肺炎 确诊 病例 属 普通型 病例 截至 二千 零 二十年 二月 五日 二十二时 辽宁省 累计 报告 新型 冠状病毒 感染 的 肺炎 确诊 病例 八十九 例 重型 病例 七例 治愈 出院 四例 八十九 例 确诊 病例 中 沈阳市 二十三 例 ​ ,2020-02-05 22:59:00,0,0,1,__label__neutral,0.055020000000000006,0.00114,0.99594,0.99594,4.0,"武汉, 确诊, 加油, 二千, o","Wuhan, Confirmed diagnosis, Come on, Two thousand, o"
7,30,__label__positive,冠状病毒,2020-02-05,抵抗 新型 冠状病毒 肺炎 增强 免疫力 才 是 硬道理 o,2020-02-05 22:59:00,0,0,0,__label__neutral,0.09809,0.00072,0.99921,0.99921,2.0,"保险, 二月, g, 香港, 中国","Insurance, February, g, Hong Kong, China"
8,44,__label__negative,冠状病毒,2020-02-05,视频 新型 冠状病毒 疫情 打乱 经济 中国 第一季 经济 预计 将 因此 受 重创 新型 冠状病毒 o,2020-02-05 22:59:00,0,1,3,__label__positive,0.99428,0.00111,0.02443,0.99428,2.0,"保险, 二月, g, 香港, 中国","Insurance, February, g, Hong Kong, China"
9,52,__label__neutral,冠状病毒,2020-02-05,陕西 爆料 陕西 第三例 安康 首例 新冠 肺炎 患者 治愈 出院 二月 五日 陕西 安康 安康市 首例 陕西省 第三例 新冠 病毒感染 的 肺炎 患者 顺利 出院 患者 黄某 确诊 前有 武汉 返回 人员 接触 史 一月 二十一日 出现 发热 症状 被 确诊 为 新冠 病毒感染 肺炎 一月 二十六日 转入 安康市 传染病 医院 隔离 治疗 经过 十天 的 治疗 黄某 连续 ​ ,2020-02-05 22:59:00,1,0,7,__label__neutral,0.25684,0.01206,0.6076699999999999,0.6076699999999999,4.0,"武汉, 确诊, 加油, 二千, o","Wuhan, Confirmed diagnosis, Come on, Two thousand, o"
10,53,__label__neutral,冠状病毒,2020-02-05,塔斯马尼亚 大学 utas 就 新型 冠状病毒 的 最新 通告 来 啦 目前为止 二 ckfhp 五 学 日期 和 迎新 活动 不受 影响 进一步 的 更新 跟进 请 随时 关注 学校 邮箱 邮件 通告 中文 版本 请 戳 塔斯马尼亚 大学 关于 新型 冠状病毒 的 最新 通告 英文 全文 请 戳 网页 链,2020-02-05 22:59:00,0,0,0,__label__neutral,0.01973,0.21735,0.7491,0.7491,4.0,"武汉, 确诊, 加油, 二千, o","Wuhan, Confirmed diagnosis, Come on, Two thousand, o"
11,68,__label__neutral,冠状病毒,2020-02-05,新冠 疫情 防控 期间 妇幼 人群 居家 膳食 喂养 指导 建议 新型 冠状病毒 膳食 营养,2020-02-05 18:56:00,1,0,0,__label__neutral,0.01244,0.011,0.94968,0.94968,0.0,"防控, 指南, 武汉, 病毒, o","Prevention and control, guide, Wuhan, virus, o"
12,71,__label__positive,冠状病毒,2020-02-05,为 应对 新型 冠状病毒 各 门诊 药店 停止 售卖 退烧药 有 发热 的 统一 到 发热 门诊 排查,2020-02-05 22:59:00,0,0,1,__label__positive,0.26285,0.04604,0.2069,0.26285,0.0,"防控, 指南, 武汉, 病毒, o","Prevention and control, guide, Wuhan, virus, o"
13,77,__label__neutral,冠状病毒,2020-02-05,我 忽然 想起 用 紫外线 灯 能 不能 试试 杀灭 冠状病毒 按说 uv c 型 二百五十 四 nm 的 紫外线 灯 对 很多 病菌 和 细菌 都 是 有效的,2020-02-05 22:58:00,1,2,6,__label__negative,0.00213,0.78267,0.30737,0.78267,2.0,"保险, 二月, g, 香港, 中国","Insurance, February, g, Hong Kong, China"
14,78,__label__neutral,冠状病毒,2020-02-05,二十九 九 汤臣 倍 健 大牌 维生素 c 三十 片 x 二瓶 限领 五张 卷 维生素 c 或维 c 维泡片 可选 预防 新型 冠状病毒 医疗 专家 提出 适当 补充 维 c 可以 抗击 预防 汤臣 倍 健 大牌 维生素 c 维 c 维泡片 囤 起来 防控 疫情 jia 仅 二十九 九 比 线下 药店 实惠 美味 维 c 增强 抵抗力,2020-02-05 22:58:00,0,1,0,__label__neutral,0.1067,0.00101,0.96379,0.96379,1.0,"c, 维, 维生素, 预防, 九","c, dimension, Vitamins, prevention, nine"
15,82,__label__negative,冠状病毒,2020-02-05,突发 合肥 一 女子 在 身上 喷 酒精 消毒 后 烧菜 导致 爆炸 受伤 医生 发出 提醒 今天下午 合肥市 的 王女士 化名 穿着 化纤 居家 服 为了 消毒 酒精 在 身上 转着 圈 的 喷 了 好几遍 喷 完后 不到 二 分钟 到 厨房 看看 菜烧 的 怎么样 了 还 没靠近 灶头 轰的一声 挥发 的 酒精 突然 爆炸 紧急 送到 安 医大 一 附院 烧伤科 后 医生 检 ​ ,2020-02-05 22:58:00,0,0,0,__label__negative,0.00182,0.99712,0.00556,0.99712,4.0,"武汉, 确诊, 加油, 二千, o","Wuhan, Confirmed diagnosis, Come on, Two thousand, o"
16,85,__label__positive,冠状病毒,2020-02-05,武汉 加油 中国 加油 新型 冠状病毒 手写 加油 接力,2020-02-05 22:58:00,0,1,3,__label__neutral,0.02932,0.13662,0.37755,0.37755,4.0,"武汉, 确诊, 加油, 二千, o","Wuhan, Confirmed diagnosis, Come on, Two thousand, o"
17,86,__label__neutral,冠状病毒,2020-02-05,小 莆 分享 转扩 关于 新型 冠状病毒 肺炎 的 十五个 最新 解释 为 莆院 学子 搜集 的 信息 o 转扩 关于 新型 冠状病毒 肺炎 的 十五个 最新 解,2020-02-05 22:58:00,0,0,1,__label__neutral,0.29422,0.00055,0.97772,0.97772,1.0,"c, 维, 维生素, 预防, 九","c, dimension, Vitamins, prevention, nine"
18,88,__label__neutral,冠状病毒,2020-02-05,纪小槌 说法 新型 冠状病毒 疫情 导致 合同 履行 问题 的 法律 救济 不可抗力 or 情势 变更 ​ ​,2020-02-05 15:39:00,0,0,0,__label__neutral,0.00318,1e-05,1.00001,1.00001,0.0,"防控, 指南, 武汉, 病毒, o","Prevention and control, guide, Wuhan, virus, o"
19,91,__label__neutral,冠状病毒,2020-02-05,江湖人称 病毒 猎手 的 顶级 国际 病毒 专家 手把手 教 你 防护 知识 家里 存 的 口罩 不多 了 怎么办 非常 时期 一定 要 握手 怎么 握 哪些 事情 只要 做 就 能 保护 自己 和 家人 新型 冠状病毒 薇 赴 思访,2020-02-03 17:41:00,0,0,0,__label__neutral,0.00477,0.26285,0.72488,0.72488,0.0,"防控, 指南, 武汉, 病毒, o","Prevention and control, guide, Wuhan, virus, o"
20,96,__label__negative,冠状病毒,2020-02-05,同埃 博拉 病毒 一样 新型 冠状病毒 再次 给 我们 拉响 了 警报 查看 图,2020-02-04 12:55:00,0,0,0,__label__positive,0.99808,1e-05,0.04604,0.99808,0.0,"防控, 指南, 武汉, 病毒, o","Prevention and control, guide, Wuhan, virus, o"
